sepal_length,sepal_width,petal_length,petal_width
6.226658880687556,2.8617063727309784,5.388029279631163,2.235873408681929
6.0686776830344735,2.9547786958741744,5.754727580616552,1.9890165006263087
5.871849463767485,3.0121276132540973,6.027400289385794,2.394542692203378
6.082855069404042,2.7619552856616494,5.280421972035494,2.171858296481698
6.660091577536744,3.2043320140507587,6.0118680634600326,2.0716787471929377
6.450301476315163,3.2462078077851935,5.59901963247375,2.1994413606404497
7.096134935036806,3.140824803344218,6.087378847344362,2.0910269619418203
6.389107553796666,2.749405297858033,5.923570005778618,2.0256412723986976
6.93668245686774,3.1887322722119977,5.838981917301878,2.042113054606693
5.883252678153719,3.1780252005255436,5.916162960527575,2.2928090401690686
6.244949263457277,3.005689642706349,6.086722037825994,2.1835278556580717
6.63179948959935,3.1738369570847773,5.469655948508999,2.0090087113172923
6.541370564054048,2.7372754624320574,6.109206461465434,2.2964530369588676
6.996226472904887,3.0837372588203764,5.297949182072753,2.0913869352154317
6.900311397931534,2.8002794503881523,6.030237342665269,2.3233141056050104
6.279145337211814,2.893378484041745,5.867051110202611,2.358965986412096
6.141078062487525,3.2647549176254413,5.914977674391326,2.4165356473950017
5.966497841193919,2.7759372819040555,6.17890449230764,2.360492594065694
6.429096294882214,3.1284427056854014,6.2263664534368255,1.9989762268162847
6.596135549891236,3.212088399915894,5.681859735718339,2.113048786689468
6.8844186906232885,2.9014719501017017,5.223682185894023,2.402211938556789
6.6197602072563235,3.1917107512260428,6.177349812317549,2.0092205849640026
6.072118259202404,2.886672408455788,5.592011170647934,2.2698658917796015
6.66007279697849,2.9967538668058884,5.465065929478171,2.1480727266637336
6.556672159004721,2.980791219662365,5.367659338390291,2.265784617140847
5.944967309853858,2.926916809848648,6.043634043303266,1.988810355188671
6.59097766475891,2.9007125844859782,5.2302449383703715,2.0637686392668275
7.073230051251851,3.0126893433030544,6.376783557369793,2.2109193701604863
6.557117335977349,2.935105807759711,5.57964688572844,2.090680043378496
6.296446800969876,2.975910648540259,5.442710662267716,2.0789450403945064
6.203008199268971,2.9695559351585032,5.977263505504522,2.3567043061259665
6.223271388343287,2.8102370042048626,5.659463059226644,2.3735285536036166
5.862818946838281,3.1067211696346475,5.773505653837435,2.0508603345826995
6.267327984156807,2.83497002632622,6.238285314752542,2.1920242889357957
6.582022561234241,3.056212571602212,5.961955864538733,2.1980445037654093
5.87323559008721,2.900833612148791,5.43329295923635,2.279262850881138
5.923716046781061,3.0382820346669863,5.464332797838189,2.397492168925507
6.286203224842496,2.8951327148247805,6.291126214869239,2.1636330849338226
7.101721034441464,2.7145022112801023,5.575359707234489,2.27312490251723
7.0081140538859295,2.8538433558049703,6.299354006677855,2.241413445259643
6.891310716157291,2.9383243825841383,5.466129243777573,2.380943582796985
7.0630766289280835,2.998545086492481,5.227534218559137,2.028304499614978
6.594936348301238,2.714266021381132,5.680417831824567,2.1134827760516854
6.778652758022867,2.733347203768761,5.786928272013653,2.2348102787452664
6.6524783988684035,2.943094603210165,5.573066628778279,2.280296934844346
6.951839762533243,3.1161705826697275,6.301238743930377,2.295595951157488
6.844004354217704,2.800741917961253,5.706665987650986,2.193424345620625
6.18318111098299,3.017123916213773,5.557318655297343,2.282500920833943
6.461375019714128,2.9752841725614214,6.361025335998062,2.152675733358731
6.320984062366439,2.891162622769593,6.257909096331926,2.1985584834831986
6.6300188207248265,2.808491087401437,5.847493137605715,2.100845204862135
6.799827997641741,3.1995170092754295,6.049180402872282,2.301307433158913
6.5162171153553725,3.1272708338004813,5.710316845189466,2.26665522755303
6.186750973156669,2.741854207387206,5.699628986381484,2.183182388543416
6.183329305645297,3.1366257110443425,5.305318555612484,2.078009262726843
6.823134133989715,2.9622745642440074,6.038129003885602,2.2296937862247828
7.085926574996572,3.0586774996337,5.237248010240802,2.135266034221907
6.03597888686612,3.254780206558622,5.340654446970693,2.1505909317776783
6.1439289517147,3.2080331942380402,5.577937137203143,2.416433132582764
5.900201587295926,2.7769660634775395,5.480580980657766,2.3368866576880705
6.99207237178322,2.7428708283656533,5.25765376444424,2.3076050171260154
6.023357608779698,2.7797991522447836,5.245945180013537,2.0019154661367056
6.192778096174136,2.7390032936464834,5.647899746324759,2.346421013740034
6.27421633451807,3.136700497547623,5.328935559203995,2.270125082464577
6.261771338234666,3.149851727218223,5.3780523363054025,2.3750686862163723
6.165350363767318,2.9118826759687058,6.322209624548929,2.234532238281578
6.325502974651928,3.269761288220179,5.601729803592437,2.021743113577079
7.145903554217246,2.8607069523353483,6.207459104491544,2.0528379497221585
6.800760163310592,3.0146696366833514,6.35785160761655,2.223245356680656
5.882519697458111,3.062326793774453,5.388567089350486,2.3313580027241185
6.963538655436869,2.9892561112768283,6.128536890180666,2.0438487236119065
6.48970164249634,2.936366558814351,5.929128168981574,1.9995699630733905
6.827759689723216,2.7474775736848103,5.981506960334991,1.9881211792375755
6.931454482883748,2.8048197781342687,5.817977072133309,2.0950568776401526
6.789441362679389,2.892810660113833,6.060546664562448,2.1053433310076097
6.828215018216488,2.7183632978021426,5.548641149033664,2.199398742833723
5.908577456495643,2.8116204368227673,6.304062898703796,2.4098070766792836
6.811674931607631,2.8513200303701476,5.522200236705724,2.264147757429832
6.002879501578312,3.2689856282582195,5.480782963431814,2.4198396751871956
6.494453933893198,3.162857993395762,5.222533549626446,2.3710484180907225
6.201002658214755,3.100762046728839,6.1553721257205645,2.052225005845961
6.4252623257279975,2.996301564391154,5.582058579793477,2.1919725650807522
6.26280935495194,2.9164486470331257,5.996424167295176,2.2583410380541986
6.151945443536783,3.238489730877255,6.220834712978813,2.203996654943579
6.413225965504476,2.9261135897904653,6.0404307856530695,2.2755330651721675
6.105034789019372,3.102874818780217,5.512820185158366,1.9881656680703514
6.75897128079859,3.08687616147645,5.696538744354236,2.211301864604583
7.081319949217487,3.0571201085432627,5.983145364990376,2.008120981217622
6.065792798877663,2.880571365846953,5.8456800089126455,2.3216999942326613
6.267613141125163,2.9138294582872644,5.517135026801548,2.0920281048899345
7.083522999663236,3.081274307771334,5.400845442506338,2.2977893743570745
6.788627486368038,3.099882117632223,5.3762757163051695,2.1595162527266183
5.9887832296427375,3.189972302455282,5.979999686086386,2.2031697321778405
6.295920119450776,2.81054968469666,5.343479203046405,2.406465867316236
6.10954323454283,2.7359247760328316,6.335533455731696,2.221538766197444
6.885653755488486,2.726259508318991,5.877657194676399,2.155212384211918
